Catalogue_Number,Genus_species,Name_in_Tree,Species,Taxon_Rank,Vernacular_name,Institution,Institution_Code,Locality,Latitude,Longitude,Country,AUS_State
J53910,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53908,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J40575,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan,-15.833333,145.266667,Australia,Queensland
J53909,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J41690,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"The Bluff, 11 km W of Mossman",-16.465342,145.267575,Australia,Queensland
J40565,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan,-15.824,145.276,Australia,Queensland
J41687,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"The Bluff, 11Km W of Mossman",-16.466667,145.266667,Australia,Queensland
J40576,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan,-15.824,145.276,Australia,Queensland
J40571,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan,-15.833333,145.266667,Australia,Queensland
J40577,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan,-15.833333,145.266667,Australia,Queensland
J41688,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"The Bluff, 11Km W of Mossman",-16.466667,145.266667,Australia,Queensland
J41686,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"The Bluff, 11Km W of Mossman",-16.466667,145.266667,Australia,Queensland
J53907,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53919,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
