ahe_index,museum_index,order,family,subfamily,genus,species,original_genus_species,original_label,spp_tree_label,in_spp_tree,dataset
I13355,PT455,Anura,Microhylidae,,Oxydactyla,alpestris,Oxydactyla_alpestris,I13355_PT455_Anura_Microhylidae_Oxydactyla_alpestris_seq1,Oxydactyla_alpestris_2,Yes,Hime et al.
I5765,112409,Anura,Microhylidae,,Oxydactyla,alpestris,Oxydactyla_alpestris,I5765_112409_Anura_Microhylidae_Oxydactyla_alpestris_seq1,Oxydactyla_alpestris,Yes,Hoskin et al.
I7739,R1330,Anura,Microhylidae,,Phrynomantis,annectens,Phrynomantis_annectens,I7739_R1330_Anura_Microhylidae_Phrynomantis_annectens_seq1,Phrynomantis_annectens,Yes,Hime et al.
I13356,PT287,Anura,Microhylidae,,Phrynomantis,bifasciatus,Phrynomantis_bifasciatus,I13356_PT287_Anura_Microhylidae_Phrynomantis_bifasciatus_seq1,Phrynomantis_bifasciatus,Yes,Hime et al.
I6436,AMCC103335,Anura,Microhylidae,,Platypelis,occultans,Platypelis_occultans,I6436_AMCC103335_Anura_Microhylidae_Platypelis_occultans_seq1,Platypelis_occultans,Yes,Hime et al.
I6435,AMCC128714,Anura,Microhylidae,,Plethodontohyla,notosticta,Plethodontohyla_notosticta,I6435_AMCC128714_Anura_Microhylidae_Plethodontohyla_notosticta_seq1,Plethodontohyla_notosticta,Yes,Hime et al.
I5732,90315,Anura,Microhylidae,,Pseudocallulops,sp,Pseudocallulops_sp,I5732_90315_Anura_Microhylidae_Pseudocallulops_sp_nov_1_seq1,Pseudocallulops_sp_1,Yes,Hoskin et al.
I7740,R1208,Anura,Microhylidae,,Ramanella,variegata,Ramanella_variegata,I7740_R1208_Anura_Microhylidae_Ramanella_variegata_cf_seq1,Ramanella_variegata,Yes,Hime et al.
I13357,PT312,Anura,Microhylidae,,Scaphiophryne,brevis,Scaphiophryne_brevis,I13357_PT312_Anura_Microhylidae_Scaphiophryne_brevis_seq1,Scaphiophryne_brevis,Yes,Hime et al.
I13358,PT273,Anura,Microhylidae,,Stereocyclops,incrassatus,Stereocyclops_incrassatus,I13358_PT273_Anura_Microhylidae_Stereocyclops_incrassatus_seq1,Stereocyclops_incrassatus,Yes,Hime et al.
I6430,AMCC103414,Anura,Microhylidae,,Stumpffia,grandis,Stumpffia_grandis,I6430_AMCC103414_Anura_Microhylidae_Stumpffia_grandis_seq1,Stumpffia_grandis,Yes,Hime et al.
I13359,PT265,Anura,Microhylidae,,Stumpffia,roseifemoralis,Stumpffia_roseifemoralis,I13359_PT265_Anura_Microhylidae_Stumpffia_roseifemoralis_seq1,Stumpffia_roseifemoralis,Yes,Hime et al.
I13360,PT271,Anura,Microhylidae,,Synapturanus,salseri2,Synapturanus_salseri2,I13360_PT271_Anura_Microhylidae_Synapturanus_salseri2_seq1,Synapturanus_salseri,Yes,Hime et al.
I13361,PT198,Anura,Microhylidae,,Syncope,carvalhoi,Syncope_carvalhoi,I13361_PT198_Anura_Microhylidae_Syncope_carvalhoi_seq1,Syncope_carvalhoi,Yes,Hime et al.
I13362,PT454,Anura,Microhylidae,,Xenobatrachus,fuscigula,Xenobatrachus_fuscigula,I13362_PT454_Anura_Microhylidae_Xenobatrachus_fuscigula_seq1,Xenorhina_fuscigula,Yes,Hime et al.
